country,share_global_total,emissions_2023,emissions_2000,change_from_2000,region,iso3c,country_wdi,population_2023,population_2000,co2_per_capita_2023,co2_per_capita_2000,co2_per_capita_change
Ukraine,0.3%,136.2,360.02,62,Europe & Central Asia,UKR,Ukraine,37732836,49556660,3.6095882111803097,7.264815667561131,-3.6552274563808216
Nigeria,0.3%,127.94,100.3,28,Sub-Saharan Africa,NGA,Nigeria,227882945,126382494,0.5614285878216995,0.7936225724426675,-0.23219398462096807
Qatar,0.3%,127.91,31.75,303,Middle East & North Africa,QAT,Qatar,2656032,644989,48.15830532162263,49.22564570868651,-1.0673403870638793
Bangladesh,0.3%,124.79,26.97,363,South Asia,BGD,Bangladesh,171466990,134544304,0.7277785654253335,0.20045441685885118,0.5273241485664824
Netherlands,0.3%,122.87,176.91,31,Europe & Central Asia,NLD,Netherlands,17877117,15925513,6.87303215613569,11.108590348078582,-4.235558191942892
Kuwait,0.3%,111.63,54.48,105,Middle East & North Africa,KWT,Kuwait,4853420,1954709,23.00027609397085,27.87115626929635,-4.8708801753254996
Colombia,0.3%,100.86,62.57,61,Latin America & Caribbean,COL,Colombia,52321152,39089934,1.9277098485904898,1.6006678343330025,0.32704201425748725
Oman,0.2%,93.09,26.32,254,Middle East & North Africa,OMN,Oman,5049269,2282131,18.4363320710384,11.533080265769144,6.903251805269257
Czech Republic,0.2%,90.51,132.31,32,Europe & Central Asia,CZE,Czechia,10864042,10255063,8.3311533589432,12.90191976392539,-4.570766404982191
Venezuela,0.2%,84.6,137.75,39,Latin America & Caribbean,VEN,"Venezuela, RB",28300854,24526708,2.9893090858671614,5.61632649599775,-2.627017410130589
Belgium,0.2%,84.31,124.97,33,Europe & Central Asia,BEL,Belgium,11779946,10251250,7.157078648747626,12.190708450189002,-5.033629801441376
Chile,0.2%,84,53.849999999999994,56,Latin America & Caribbean,CHL,Chile,19658835,15503635,4.272887991582411,3.473378984992874,0.7995090065895369
Romania,0.2%,70.77,97.42,27,Europe & Central Asia,ROU,Romania,19061062,22442971,3.7128046695404486,4.34078001526625,-0.6279753457258015
Morocco,0.2%,69.86,33.56,108,Middle East & North Africa,MAR,Morocco,37712505,28423435,1.8524359492958635,1.1807158424025808,0.6717201068932828
Turkmenistan,0.2%,65.99000000000001,39.34,68,Europe & Central Asia,TKM,Turkmenistan,7364438,4582677,8.960629446537537,8.584502027963131,0.3761274185744057
North Korea,0.2%,64.27,73.81,13,East Asia & Pacific,PRK,"Korea, Dem. People's Rep.",26418204,23665910,2.432792176182756,3.118832109139264,-0.6860399329565081
Libya,0.2%,61.260000000000005,49.28,24,Middle East & North Africa,LBY,Libya,7305659,5305021,8.385280506522411,9.28931289810163,-0.9040323915792179
Israel and  Palestine,0.2%,61.25,59.3,3,Asia,ISR,Israel,9849000,6289000,6.218905472636816,9.429162028939418,-3.2102565563026015
Austria,0.2%,58.82,66.69,12,Europe & Central Asia,AUT,Austria,9131761,8011566,6.441254868584493,8.324215265779499,-1.8829603971950055
Peru,0.1%,58.4,28.979999999999997,102,Latin America & Caribbean,PER,Peru,33845617,26598331,1.7254819139506306,1.0895420468299306,0.6359398671206999
Singapore,0.1%,57.07,45.52,25,East Asia & Pacific,SGP,Singapore,5917648,4027887,9.644034251445845,11.30121078371861,-1.6571765322727643
Serbia and  Montenegro,0.1%,56.120000000000005,50.64,11,Europe,SRB,Serbia,6623183,7516346,8.473267309690826,6.737316243823794,1.7359510658670319
Belarus,0.1%,54.18,56.260000000000005,4,Europe & Central Asia,BLR,Belarus,9178298,9979610,5.903055228758099,5.637494852003235,0.26556037675486355
Greece,0.1%,51.67,96.05,46,Europe & Central Asia,GRC,Greece,10407351,10805808,4.964760004731271,8.888738352560031,-3.9239783478287595
Ecuador,0.1%,45.33,22.04,106,Latin America & Caribbean,ECU,Ecuador,17980083,12689206,2.521122955884019,1.73690930701259,0.7842136488714291
Norway,0.1%,44.07,41.77,5,Europe & Central Asia,NOR,Norway,5519601,4490967,7.984272776238718,9.300892213191503,-1.3166194369527853
Hungary,0.1%,43.83,59.48,26,Europe & Central Asia,HUN,Hungary,9592186,10210971,4.569344255834905,5.825107132318758,-1.2557628764838524
Azerbaijan,0.1%,42.77,28.79,49,Europe & Central Asia,AZE,Azerbaijan,10153958,8048600,4.212150572220212,3.577019605894193,0.635130966326019
Bulgaria,0.1%,39.790000000000006,48.17,17,Europe & Central Asia,BGR,Bulgaria,6446596,8170172,6.172249664784331,5.895836709435248,0.27641295534908217
Bahrain,0.1%,37.43,17.77,111,Middle East & North Africa,BHR,Bahrain,1577059,637582,23.734051801486185,27.870924837903203,-4.136873036417018
Portugal,0.09%,36.17,64.41000000000001,44,Europe & Central Asia,PRT,Portugal,10578174,10289898,3.4193046928515263,6.259537266550165,-2.8402325736986387
New Zealand,0.09%,35.8,32.89,9,East Asia & Pacific,NZL,New Zealand,5200000,3857700,6.884615384615385,8.525805531793555,-1.64119014717817
Sweden,0.09%,35.39,57.98,39,Europe & Central Asia,SWE,Sweden,10536632,8872109,3.3587582825327864,6.53508652790447,-3.1763282453716837
Slovakia,0.09%,34.86,41.68,16,Europe & Central Asia,SVK,Slovak Republic,5426740,5388720,6.423746116452972,7.7346753960124115,-1.3109292795594394
Hong Kong,0.09%,34.67,41.9,17,East Asia & Pacific,HKG,"Hong Kong SAR, China",7536100,6665000,4.600522816841602,6.286571642910728,-1.6860488260691255
Switzerland and  Liechtenstein,0.09%,34.220000000000006,44.8,24,Europe,CHE,Switzerland,8888822,7184250,3.849778969586747,6.235863172912969,-2.3860842033262224
Myanmar,0.09%,33.37,10.04,232,East Asia & Pacific,MMR,Myanmar,54133798,45290841,0.6164355953742613,0.22167837422140163,0.39475722115285966
Ireland,0.08%,32.48,43.82,26,Europe & Central Asia,IRL,Ireland,5311538,3805174,6.114989669658769,11.515899141537286,-5.400909471878517
Finland,0.08%,32.27,57.53,44,Europe & Central Asia,FIN,Finland,5583911,5176209,5.779103570955913,11.114311651635395,-5.335208080679482
Tunisia,0.08%,31.5,21.130000000000003,49,Middle East & North Africa,TUN,Tunisia,12200431,9764935,2.5818760009379997,2.163864890037671,0.41801111090032883
Dominican Republic,0.08%,31.35,19.01,65,Latin America & Caribbean,DOM,Dominican Republic,11331265,8584190,2.7666813899419,2.214536257934645,0.5521451320072548
Angola,0.07%,28.23,16.51,71,Sub-Saharan Africa,AGO,Angola,36749906,16194869,0.7681652301369152,1.0194586939851136,-0.2512934638481984
Mongolia,0.07%,28.12,9.04,211,East Asia & Pacific,MNG,Mongolia,3481145,2388299,8.077801987564436,3.7851207072481294,4.292681280316307
Trinidad and Tobago,0.07%,27.22,19.130000000000003,42,Latin America & Caribbean,TTO,Trinidad and Tobago,1367510,1319774,19.904790458570687,14.494905946018033,5.4098845125526545
Denmark,0.07%,26.77,53.16,50,Europe & Central Asia,DNK,Denmark,5946952,5339616,4.501465624743566,9.955772100465651,-5.454306475722086
Laos,0.07%,26.02,0.93,2685,East Asia & Pacific,LAO,Lao PDR,7664993,5431212,3.3946541112301083,0.1712324983815767,3.2234216128485316
Syria,0.07%,25.59,45.9,44,Middle East & North Africa,SYR,Syrian Arab Republic,23594623,16637888,1.0845691410284453,2.7587636123046386,-1.6741944712761934
Ghana,0.06%,24.16,6.09,297,Sub-Saharan Africa,GHA,Ghana,33787914,19637087,0.7150485821646166,0.3101274644248406,0.404921117739776
Bolivia,0.06%,23.81,8.2,190,Latin America & Caribbean,BOL,Bolivia,12244159,8606326,1.9446006867437773,0.9527875193200908,0.9918131674236865
Jordan,0.06%,23.58,16.47,43,Middle East & North Africa,JOR,Jordan,11439213,5386945,2.0613306177619037,3.0573915271085927,-0.996060909346689
Cuba,0.06%,22.07,28.99,24,Latin America & Caribbean,CUB,Cuba,11019931,11109109,2.002734862858942,2.6095702184576637,-0.6068353555987218
Bosnia and Herzegovina,0.06%,22,14.28,54,Europe & Central Asia,BIH,Bosnia and Herzegovina,3185073,4159771,6.9072200229005745,3.4328812812051432,3.474338741695431
Kenya,0.06%,21.73,8.91,144,Sub-Saharan Africa,KEN,Kenya,55339003,30642890,0.39267060882900257,0.2907689189890379,0.10190168983996467
Guatemala,0.05%,21.35,9.69,120,Latin America & Caribbean,GTM,Guatemala,18124838,11697592,1.17794156284321,0.8283756178194623,0.3495659450237476
Sudan and  South Sudan,0.05%,21.27,6,255,Sub-Saharan Africa,SSD,South Sudan,11483374,6032267,1.8522430776877945,0.994650933057174,0.8575921446306205
Sri Lanka,0.05%,20.52,11.46,79,South Asia,LKA,Sri Lanka,22037000,19293054,0.9311612288424014,0.5939961604834569,0.33716506835894444
Tanzania,0.05%,19.37,3.11,523,Sub-Saharan Africa,TZA,Tanzania,66617606,34260139,0.29076397611766475,0.09077604734761877,0.19998792877004598
Cambodia,0.05%,17.97,2,798,East Asia & Pacific,KHM,Cambodia,17423880,12462336,1.0313431910688091,0.1604835562128962,0.8708596348559129
Nepal,0.05%,17.93,3.42,424,South Asia,NPL,Nepal,29694614,24546509,0.6038132032967325,0.13932734793367155,0.464485855363061
Croatia,0.04%,17.459999999999997,19.37,10,Europe & Central Asia,HRV,Croatia,3859686,4468302,4.523684050982385,4.33498004387349,0.18870400710889523
Lebanon,0.04%,17.330000000000002,15.31,13,Middle East & North Africa,LBN,Lebanon,5773493,4329340,3.0016490883421874,3.5363357925226477,-0.5346867041804604
Ethiopia,0.04%,16.71,3.88,331,Sub-Saharan Africa,ETH,Ethiopia,128691692,67411494,0.129845211763942,0.05755695015452409,0.07228826160941793
Panama,0.04%,14.72,5.1899999999999995,184,Latin America & Caribbean,PAN,Panama,4458759,3010369,3.301367039573119,1.7240411391427426,1.5773259004303763
Ivory Coast,0.04%,14.41,6.970000000000001,107,Sub-Saharan Africa,CIV,Cote d'Ivoire,31165654,17699004,0.4623679644264805,0.39380747074807154,0.06856049367840894
Puerto Rico,0.04%,13.82,25.18,45,Americas,PRI,Puerto Rico (US),3203792,3810605,4.313638338568796,6.607874602589352,-2.2942362640205562
Lithuania,0.03%,13.11,11.66,13,Europe & Central Asia,LTU,Lithuania,2871585,3499536,4.5654229284524055,3.3318702822317015,1.233552646220704
Georgia,0.03%,12.86,5.21,147,Europe & Central Asia,GEO,Georgia,3715483,4077131,3.4611919903818698,1.2778593574746555,2.1833326329072142
Slovenia,0.03%,12.08,15.04,20,Europe & Central Asia,SVN,Slovenia,2120461,1988925,5.696874406084337,7.561873876591626,-1.8649994705072892
Senegal,0.03%,12.02,3.99,201,Sub-Saharan Africa,SEN,Senegal,18077573,9968260,0.6649122644947969,0.4002704584350729,0.264641806059724
Zimbabwe,0.03%,11.739999999999998,14.6,20,Sub-Saharan Africa,ZWE,Zimbabwe,16340822,11892055,0.7184461099937322,1.227710433562576,-0.5092643235688438
Estonia,0.03%,11.44,17.38,34,Europe & Central Asia,EST,Estonia,1370286,1396985,8.348622112464113,12.441078465409435,-4.092456352945321
Honduras,0.03%,10.95,5,119,Latin America & Caribbean,HND,Honduras,10644851,6577773,1.0286663477018139,0.7601356872607188,0.2685306604410951
Yemen,0.03%,10.9,15.739999999999998,31,Middle East & North Africa,YEM,"Yemen, Rep.",39390799,19624141,0.2767143667230512,0.8020733238718575,-0.5253589571488062
Cameroon,0.03%,10.76,5.73,88,Sub-Saharan Africa,CMR,Cameroon,28372687,14912631,0.3792379621993504,0.38423803284611546,-0.0050000706467650535
Kyrgyzstan,0.03%,10.46,4.8,118,Europe & Central Asia,KGZ,Kyrgyz Republic,7099750,4898362,1.473291313074404,0.9799194097945395,0.4933719032798646
Moldova,0.03%,9.93,6.89,44,Europe & Central Asia,MDA,Moldova,2457783,2924668,4.040226496806268,2.3558229515281734,1.6844035452780943
Mozambique,0.02%,9.739999999999998,1.57,520,Sub-Saharan Africa,MOZ,Mozambique,33635160,18129653,0.28957792976159463,0.08659845833784022,0.20297947142375442
Brunei,0.02%,9.72,6.07,60,East Asia & Pacific,BRN,Brunei Darussalam,458949,326424,21.178823790878724,18.595446413253928,2.583377377624796
Tajikistan,0.02%,9.31,2.78,234,Europe & Central Asia,TJK,Tajikistan,10389799,6284735,0.8960712329468549,0.44234164208992105,0.4537295908569338
Uruguay,0.02%,8.82,5.57,58,Latin America & Caribbean,URY,Uruguay,3388081,3266206,2.60324354701083,1.7053425289158124,0.8979010180950175
North Macedonia,0.02%,8.76,9.04,3,Europe & Central Asia,MKD,North Macedonia,1827816,2026350,4.792604944917869,4.461223381942903,0.33138156297496657
Afghanistan,0.02%,8.709999999999999,1.02,757,South Asia,AFG,Afghanistan,41454761,20130327,0.21010855665046532,0.05066981773321417,0.15943873891725116
Costa Rica,0.02%,8.57,5.119999999999999,67,Latin America & Caribbean,CRI,Costa Rica,5105525,3937739,1.6785737020188913,1.3002385379020802,0.3783351641168111
El Salvador,0.02%,8.38,5.8,45,Latin America & Caribbean,SLV,El Salvador,6309624,5943366,1.328129853696512,0.9758779789095944,0.35225187478691766
Paraguay,0.02%,8.25,3.64,127,Latin America & Caribbean,PRY,Paraguay,6844146,5100868,1.2054097034166134,0.7136040375873283,0.4918056658292851
Zambia,0.02%,8.06,1.95,313,Sub-Saharan Africa,ZMB,Zambia,20723965,10017631,0.3889217145464201,0.19465680059487117,0.19426491395154893
Armenia,0.02%,7.73,3.57,116,Europe & Central Asia,ARM,Armenia,2964300,3221100,2.607698276152886,1.1083170345534135,1.4993812415994725
Botswana,0.02%,7.42,4.1,81,Sub-Saharan Africa,BWA,Botswana,2480244,1677382,2.9916411449841225,2.4442852015819887,0.5473559434021338
Congo,0.02%,7.25,4.51,61,Sub-Saharan Africa,COG,"Congo, Rep.",6182885,3151345,1.1725917593485888,1.4311349598346104,-0.25854320048602153
Uganda,0.02%,7.22,1.41,411,Sub-Saharan Africa,UGA,Uganda,48656601,24000150,0.14838685505384974,0.05874963281479491,0.08963722223905483
Cyprus,0.02%,7.18,7.13,1,Europe & Central Asia,CYP,Cyprus,1344976,947667,5.338385220256718,7.523739879092551,-2.1853546588358324
Luxembourg,0.02%,7.01,8.8,20,Europe & Central Asia,LUX,Luxembourg,666430,436300,10.518734150623471,20.169608067843228,-9.650873917219757
Jamaica,0.02%,6.859999999999999,10.21,33,Latin America & Caribbean,JAM,Jamaica,2839786,2607826,2.4156749839600584,3.915138510007953,-1.4994635260478946
Mali,0.02%,6.659999999999999,0.8,730,Sub-Saharan Africa,MLI,Mali,23769127,11559290,0.28019539800515175,0.06920840293824275,0.210986995066909
Latvia,0.02%,6.55,7.23,9,Europe & Central Asia,LVA,Latvia,1883710,2367550,3.477180670060678,3.0537897826867435,0.4233908873739347
Malawi,0.02%,6.45,3.1,108,Sub-Saharan Africa,MWI,Malawi,21104482,11315942,0.3056222844038532,0.2739497957836829,0.0316724886201703
Benin,0.02%,6.44,1.54,317,Sub-Saharan Africa,BEN,Benin,14111034,7221619,0.4563804466774015,0.21324858040835443,0.2431318662690471
New Caledonia,0.02%,6.21,2.18,185,East Asia & Pacific,NCL,New Caledonia,289870,223098,21.423396695070203,9.771490555719907,11.651906139350295
Burkina Faso,0.02%,6,0.88,583,Sub-Saharan Africa,BFA,Burkina Faso,23025776,11925546,0.2605775371045041,0.07379117065164144,0.18678636645286267
Papua New Guinea,0.02%,5.95,2.9499999999999997,102,East Asia & Pacific,PNG,Papua New Guinea,10389635,5537064,0.5726861434496977,0.5327733253579875,0.03991281809171021
Nicaragua,0.01%,5.73,3.77,52,Latin America & Caribbean,NIC,Nicaragua,6823613,5022633,0.8397310926044604,0.7506023235223438,0.08912876908211664
Gabon,0.01%,4.930000000000001,6.6,25,Sub-Saharan Africa,GAB,Gabon,2484789,1275572,1.9840718869891973,5.174149322813609,-3.1900774358244113
Mauritania,0.01%,4.6499999999999995,1.07,336,Sub-Saharan Africa,MRT,Mauritania,5022441,2613441,0.9258446241578545,0.40942190774538245,0.5164227164124721
Albania,0.01%,4.59,3.23,42,Europe & Central Asia,ALB,Albania,2414095,3089027,1.9013336260586264,1.0456367004885356,0.8556969255700908
Namibia,0.01%,4.359999999999999,1.95,124,Sub-Saharan Africa,NAM,Namibia,2963095,1818647,1.4714344292032484,1.0722256710620588,0.3992087581411896
Mauritius,0.01%,4.21,2.44,73,Sub-Saharan Africa,MUS,Mauritius,1248647,1186873,3.3716494733899975,2.055822316288263,1.3158271571017344
Madagascar,0.01%,4.1,1.6900000000000002,142,Sub-Saharan Africa,MDG,Madagascar,31195932,16516338,0.13142739252028116,0.10232292412519048,0.029104468395090677
Democratic Republic of the Congo,0.01%,3.8,1.88,102,Sub-Saharan Africa,COD,"Congo, Dem. Rep.",105789731,50507442,0.03592031063960263,0.037222237467500335,-0.0013019268278977036
Equatorial Guinea,0.01%,3.78,2.74,38,Sub-Saharan Africa,GNQ,Equatorial Guinea,1847549,703279,2.045953855621691,3.8960355705203766,-1.8500817148986854
Guinea,0.01%,3.72,1.47,153,Sub-Saharan Africa,GIN,Guinea,14405468,8428832,0.25823527566060334,0.17440138799776767,0.08383388766283567
Haiti,0.009%,3.54,1.6900000000000002,109,Latin America & Caribbean,HTI,Haiti,11637398,8303151,0.30419171020875974,0.2035371872678216,0.10065452294093813
Guyana,0.008%,3.3,1.66,99,Latin America & Caribbean,GUY,Guyana,826353,764832,3.9934507407851125,2.1704112798627673,1.8230394609223453
Iceland,0.008%,3.09,2.8499999999999996,8,Europe & Central Asia,ISL,Iceland,385663,281205,8.012176433829534,10.13495492612151,-2.1227784922919763
Macao,0.008%,3.01,1.48,104,East Asia & Pacific,MAC,"Macao SAR, China",678800,430600,4.4342958161461405,3.437064561077566,0.9972312550685745
Maldives,0.007%,2.88,0.64,352,South Asia,MDV,Maldives,525994,282019,5.4753476275394775,2.2693506465876414,3.205996980951836
Niger,0.007%,2.82,0.7,302,Sub-Saharan Africa,NER,Niger,26159867,11509630,0.10779871319682167,0.06081863622027815,0.04698007697654352
Suriname,0.007%,2.63,1.48,78,Latin America & Caribbean,SUR,Suriname,628886,476643,4.181998009178134,3.1050492716771254,1.0769487375010085
Chad,0.007%,2.57,0.24,962,Sub-Saharan Africa,TCD,Chad,19319064,8512093,0.1330292192209726,0.028195180668256326,0.10483403855271628
Réunion,0.007%,2.57,2.05,25,Africa,REU,NA,NA,NA,NA,NA,NA
Togo,0.006%,2.49,1.25,99,Sub-Saharan Africa,TGO,Togo,9304337,5140037,0.2676171338161978,0.24318891089694492,0.024428222919252868
Curaçao,0.006%,2.4299999999999997,5.67,57,Latin America & Caribbean,CUW,Curacao,154654,133860,15.712493695604378,42.357687135813535,-26.645193440209155
Fiji,0.006%,2.21,1.46,51,East Asia & Pacific,FJI,Fiji,924145,840909,2.39139961802531,1.736216403915287,0.6551832141100229
Bhutan,0.005%,1.99,0.41,388,South Asia,BTN,Bhutan,786385,596863,2.5305670886397884,0.6869248051898007,1.8436422834499877
Malta,0.004%,1.6800000000000002,2.13,21,Middle East & North Africa,MLT,Malta,552747,390087,3.039365206866795,5.460320390066832,-2.4209551832000367
Bahamas,0.004%,1.6800000000000002,1,69,Latin America & Caribbean,BHS,"Bahamas, The",399440,323835,4.205888243540958,3.0879923417789925,1.1178959017619654
Rwanda,0.004%,1.65,0.6799999999999999,142,Sub-Saharan Africa,RWA,Rwanda,13954471,8213931,0.11824167322430208,0.08278618361902479,0.03545548960527729
Liberia,0.004%,1.64,0.4,307,Sub-Saharan Africa,LBR,Liberia,5493031,2928117,0.2985601209969505,0.13660656319402537,0.16195355780292514
Palau,0.004%,1.44,2.12,32,East Asia & Pacific,PLW,Palau,17727,19178,81.23201895413776,110.54333089998957,-29.311311945851813
Eswatini,0.004%,1.39,1.1,27,Sub-Saharan Africa,SWZ,Eswatini,1230506,1041414,1.1296165967496299,1.0562562055052074,0.07336039124442251
French Polynesia,0.003%,1.26,0.72,75,East Asia & Pacific,PYF,French Polynesia,281118,240337,4.482103600623226,2.9957934067580108,1.4863101938652155
Seychelles,0.003%,1.24,0.76,63,Sub-Saharan Africa,SYC,Seychelles,119773,81131,10.352917602464663,9.367566035177676,0.9853515672869868
Guadeloupe,0.003%,1.1700000000000002,0.62,89,Latin America & Caribbean,GLP,NA,NA,NA,NA,NA,NA
Martinique,0.003%,1.09,0.6699999999999999,62,Latin America & Caribbean,MTQ,NA,NA,NA,NA,NA,NA
Sierra Leone,0.003%,1.07,0.4300000000000001,147,Sub-Saharan Africa,SLE,Sierra Leone,8460512,4423611,0.12646988740161352,0.0972056539329521,0.02926423346866143
Cape Verde,0.003%,1.01,0.28,256,Sub-Saharan Africa,CPV,Cabo Verde,522331,453317,1.9336397801394136,0.617669313085545,1.3159704670538686
Lesotho,0.002%,0.88,0.35,148,Sub-Saharan Africa,LSO,Lesotho,2311472,2003913,0.38070978147258544,0.1746582810730805,0.20605150039950493
Somalia,0.002%,0.8700000000000001,0.63,38,Sub-Saharan Africa,SOM,"Somalia, Fed. Rep.",18358615,8838713,0.047389195753601246,0.0712773454687351,-0.023888149715133852
Burundi,0.002%,0.8400000000000001,0.29000000000000004,186,Sub-Saharan Africa,BDI,Burundi,13689450,6470194,0.061361121155342264,0.04482091263414977,0.016540208521192493
Barbados,0.002%,0.8,0.59,35,Latin America & Caribbean,BRB,Barbados,282336,262063,2.833503343533945,2.2513670376970425,0.5821363058369027
Djibouti,0.002%,0.75,0.74,1,Middle East & North Africa,DJI,Djibouti,1152944,747318,0.65050861099932,0.9902076492202784,-0.33969903822095837
East Timor,0.002%,0.7,0.23,208,East Asia & Pacific,TLS,Timor-Leste,1384286,745088,0.5056758502217027,0.30868836969592856,0.19698748052577414
Gibraltar,0.002%,0.69,0.33999999999999997,102,Europe & Central Asia,GIB,Gibraltar,38471,27709,17.935587845390035,12.270381464506116,5.6652063808839195
Gambia,0.002%,0.61,0.27,126,Sub-Saharan Africa,GMB,"Gambia, The",2697845,1455084,0.22610639232424398,0.18555629778074667,0.04055009454349731
Greenland,0.001%,0.58,0,43369,Europe & Central Asia,GRL,Greenland,56865,56185,10.199595533280577,0,10.199595533280577
Aruba,0.001%,0.53,0.27,97,Latin America & Caribbean,ABW,Aruba,107359,90588,4.936707681703443,2.9805272221486288,1.9561804595548145
Samoa,0.001%,0.47,0.19,149,East Asia & Pacific,WSM,Samoa,216663,181685,2.1692674799111984,1.045766023612296,1.1235014562989023
Solomon Islands,0.001%,0.42,0.24,78,East Asia & Pacific,SLB,Solomon Islands,800005,440469,0.5249967187705077,0.5448737595608317,-0.01987704079032404
French Guiana,0.001%,0.38,0.17,119,Latin America & Caribbean,GUF,NA,NA,NA,NA,NA,NA
